cp1x,cp1y,cp2x,cp2y,cp3x,cp3y,cp4x,cp4y,angleX,angleY,angleZ
0,0,147,4,145,149,-2,146,0.35,0.82,0.0
0,0,144,3,142,146,-1,144,0.35,0.82,0.0
0,0,147,5,145,151,-3,146,0.35,0.82,0.0
0,0,148,3,145,148,-2,146,0.35,0.82,0.0
0,0,143,4,141,147,-2,145,0.35,0.82,0.0
0,0,143,5,142,148,-2,144,0.35,0.82,0.0
0,0,145,4,143,148,-2,145,0.35,0.82,0.0
0,0,145,4,143,148,-4,147,0.35,0.82,0.0
0,0,145,5,143,150,-3,146,0.35,0.82,0.0
0,0,147,4,145,149,-2,147,0.52,0.91,0.0
0,0,147,5,145,151,-2,146,0.52,0.91,0.0
0,0,144,3,143,146,-1,145,0.52,0.91,0.0
0,0,147,3,144,149,-4,146,0.52,0.91,0.0
0,0,144,4,142,147,-1,145,0.52,0.91,0.0
0,0,144,4,142,148,-2,145,0.52,0.91,0.0
0,0,145,4,143,148,-2,145,0.52,0.91,0.0
0,0,145,3,143,148,-2,146,0.52,0.91,0.0
0,0,145,5,142,151,-2,145,0.52,0.91,0.0
0,0,146,5,145,149,-3,147,0.37,0.63,0.0
0,0,148,2,145,149,-1,146,0.37,0.63,0.0
0,0,134,1,134,130,-2,131,-0.08,8.05,0.0
0,0,136,-1,137,134,-2,137,-0.08,8.05,0.0
0,0,132,-1,139,133,3,134,-0.08,8.05,0.0
0,0,135,0,138,134,2,136,-0.08,8.05,0.0
0,0,130,1,136,130,4,130,-0.08,8.05,0.0
0,0,127,0,133,125,3,124,-0.08,8.05,0.0
0,0,132,0,135,129,2,128,-0.08,8.05,0.0
0,0,132,3,132,128,-1,128,-0.08,8.05,0.0
0,0,129,1,133,126,1,126,-0.08,8.05,0.0
0,0,133,1,134,131,-2,132,0.08,6.95,0.0
0,0,133,-1,138,133,3,133,0.08,6.95,0.0
0,0,136,-1,137,134,-3,136,0.08,6.95,0.0
0,0,134,-1,138,134,1,135,0.08,6.95,0.0
0,0,130,1,135,130,5,129,0.08,6.95,0.0
0,0,129,1,133,125,4,125,0.08,6.95,0.0
0,0,132,1,135,130,1,130,0.08,6.95,0.0
0,0,131,2,131,128,-1,127,0.08,6.95,0.0
0,0,129,2,131,126,0,126,0.08,6.95,0.0
0,0,135,-1,136,134,-4,136,0.55,6.89,0.0
0,0,134,1,135,131,-2,131,0.55,6.89,0.0
0,0,122,-1,131,118,7,120,-0.17,12.28,0.0
